Title;Actor;Actress
At Play in the Fields of the Lord;Berenger, Tom;Hannah, Daryl
Crazy People;Moore, Dudley;Hannah, Daryl
Memoirs of an Invisible Man;Chase, Chevy;Hannah, Daryl
Clan of the Cave Bear, The;Remar, James;Hannah, Daryl
Final Terror, The;Zmed, Adrian;Hannah, Daryl
Reckless;Quinn, Aidan;Hannah, Daryl
High Spirits;O'Toole, Peter;Hannah, Daryl
Roxanne;Martin, Steve;Hannah, Daryl
Blade Runner;Ford, Harrison;Hannah, Daryl
Wall Street;Douglas, Michael;Hannah, Daryl
Pope of Greenwich Village;Rourke, Mickey;Hannah, Daryl
After School;Bottoms, Sam;Hannah, Page
Flaming Frontiers;Brown, Johnny Mack;Hansen, Eleanor
Libeled Lady;Powell, William;Harlow, Jean
Inserts;Dreyfuss, Richard;Harper, Jessica
Blue Iguana, The;McDermott, Dylan;Harper, Jessica
Tender Mercies;Duvall, Robert;Harper, Tess
Nights in White Satin;Gilman, Kenneth;Harris, Priscilla
Videodrome;Woods, James;Harry, Deborah
Intimate Stranger;Russo, James;Harry, Deborah
Highlander;Lambert, Christopher;Hart, Roxanne
Bodycount;White, Bernie;Hassett, Marilyn
Tango & Cash;Stallone, Sylvester;Hatcher, Teri
There's a Girl in My Soup;Sellers, Peter;Hawn, Goldie
Swing Shift;Russell, Kurt;Hawn, Goldie
Foul Play;Chase, Chevy;Hawn, Goldie
Best Friends;Reynolds, Burt;Hawn, Goldie
Butterflies Are Free;Albert, Edward;Hawn, Goldie
Overboard;Russell, Kurt;Hawn, Goldie
Girl from Petrovka, The;Holbrook, Hal;Hawn, Goldie
Housesitter;Martin, Steve;Hawn, Goldie
Wildcats;Keach, James;Hawn, Goldie
Protocol;Sarandon, Chris;Hawn, Goldie
Seems Like Old Times;Chase, Chevy;Hawn, Goldie
Sugarland Express, The;Johnson, Ben;Hawn, Goldie
Private Benjamin;Assante, Armand;Hawn, Goldie
Deceived;Heard, John;Hawn, Goldie
Arrowsmith;Colman, Ronald;Hayes, Helen
Say Goodbye Maggie Cole;McGavin, Darren;Hayward, Susan
Circus World;Wayne, John;Hayworth, Rita
Affair in Trinidad;Ford, Glenn;Hayworth, Rita
Lady from Shanghai;Welles, Orson;Hayworth, Rita
Lady in Question;Aherne, Brian;Hayworth, Rita
Gilda;Ford, Glenn;Hayworth, Rita
Loves of Carmen, The;Ford, Glenn;Hayworth, Rita
Dick Tracy;Beatty, Warren;Headley, Glenne
Marnie;Connery, Sean;Hedren, Tippi
Hot Child in the City;Prysirr, Geof;Hendrix, Leah Ayres
Johnny Dangerously;Piscopo, Joe;Henner, Marilu
Stark;Surovy, Nicolas;Henner, Marilu
Three Strange Loves;Malmsten, Birger;Henning, Eva
My Fair Lady;Harrison, Rex;Hepburn, Audrey
Unforgiven, The;Lancaster, Burt;Hepburn, Audrey
Robin & Marian;Connery, Sean;Hepburn, Audrey
Children's Hour, The;Garner, James;Hepburn, Audrey
Rainmaker, The;Lancaster, Burt;Hepburn, Katharine
Pat & Mike;Tracy, Spencer;Hepburn, Katharine
Lion in Winter, THe;O'Toole, Peter;Hepburn, Katharine
Sea of Grass, The;Tracy, Spencer;Hepburn, Katharine
Guess Who's Coming to Dinner;Tracy, Spencer;Hepburn, Katharine
Desk Set;Tracy, Spencer;Hepburn, Katharine
Rooster Cogburn;Wayne, John;Hepburn, Katharine
On Golden Pond;Fonda, Henry;Hepburn, Katharine
Adam's Rib;Tracy, Spencer;Hepburn, Katharine
Boom Town;Tracy, Spencer;Hepburn, Katharine
Dragon Seed;Tracy, Spencer;Hepburn, Katharine
Little Women;Tracy, Spencer;Hepburn, Katharine
Philadelphia Story, The;Tracy, Spencer;Hepburn, Katharine
Without Love;Tracy, Spencer;Hepburn, Katharine
Woman of the Year;Tracy, Spencer;Hepburn, Katharine
Juice;Shakur, Tupac;Herron, Cindy
Hoosiers;Hackman, Gene;Hershey, Barbara
Tin Men;Dreyfuss, Richard;Hershey, Barbara
Last Temptation of Christ, The;Dafoe, Willem;Hershey, Barbara
Paris Trout;Hopper, Dennis;Hershey, Barbara
Souvenir;Plummer, Christopher;Hicks, Catherine
A Man for All Seasons;Shaw, Robert;Hiller, Wendy
Knights & Emeralds;Leadbitter, Bill;Hills, Beverly
Masque of the Red Death;MacNee, Patrick;Hoak, Clare
Adventures of Smilin' Jack, The;Brown, Tom;Hobart, Rose
Adventures in Dinosaur City;Katz, Omri;Hoffman, Shawn
Allnighter, The;Terlesky, John;Hoffs, Susanna
Caddyshack;Chase, Chevy;Holcomb, Sarah
Tom Sawyer;Whitaker, Johnny;Holm, Celeste
Rita, Sue & Bob Too;Finneran, Siohban;Holmes, Michelle
Hawk of Powder River;Dean, Eddie;Holt, Jennifer
Tempest;Barrymore, John;Horn, Camilla
Running Mates;Webb, Greg;Howard, Barbara
Prettykill;Birney, David;Hubley, Season
Judge Priest;Rogers, Will;Hudson, Rochelle
Harvey;Stewart, James;Hull, Josephine
If Looks Could Kill;Grieco, Richard;Hunt, Linda
Raising Arizona;Cage, Nicolas;Hunter, Holly
Once Around;Dreyfuss, Richard;Hunter, Holly
Loulou;Depardieu, Gérard;Huppert, Isabelle
World According to Garp, The;Williams, Robin;Hurt, Mary Beth
Virus;Kennedy, George;Hussey, Olivia
Northwest Passage;Tracy, Spencer;Hussey, Ruth
Gardens of Stone;Caan, James;Huston, Anjelica
Enemies, a Love Story;Silver, Ron;Huston, Anjelica
Addams Family, The;Julia, Raul;Huston, Anjelica
Freaks;Ford, Wallace;Hyams, Leila
Necessary Roughness;Bakula, Scott;Ireland, Kathy
A Show of Force;Garcia, Andy;Irving, Amy
Competition, The;Dreyfuss, Richard;Irving, Amy
Crossing Delancey;Riegert, Peter;Irving, Amy
State of Things, The;Kime, Jeffrey;Isabelle Weingarten.
Business As Usual;Thaw, John;Jackson, Glenda
A Touch of Class;Segal, George;Jackson, Glenda
Women in Love.;Bates, Alan;Jackson, Glenda
Salome's Last Dance;Johns, Stratford;Jackson, Glenda
Casino;Connors, Mike;Jackson, Sherry
Smiles of a Summer Night;Björnstrand, Gunnar;Jacobsson, Ulla
New Year's Day;Jaglom, Henry;Jakobsen, Maggie
Mephisto;Brandauer, Klaus Maria;Janda, Krystyna
Easy Virtue;Dyall, Franklin;Jeans, Isabel
Swing It Sailor!;Ford, Wallace;Jewell, Isabel
Strictly Business;Davidson, Tommy;Johnson, Anne-Marie
Blame It on Rio;Caine, Michael;Johnson, Michelle
Straight to Hell;Hopper, Dennis;Jones, Grace
A View to a Kill;Moore, Roger;Jones, Grace
American Anthem;Gaylord, Mitch;Jones, Janet
Bedtime Story;Brando, Marlon;Jones, Shirley
Courtship of Eddie's Father, The;Howard, Ron;Jones, Shirley
Night Train to Katmandu, THe;Roberts, Pernell;Jovovich, Milla
Port of Call;Eklund, Bengt;Jönsson, Nine-Christine
Paper Moon;O'Neal, Ryan;Kahn, Madeline
Yellowbeard;Chapman, Graham;Kahn, Madeline
Adventures of Sherlock Holmes' Smarter;Wilder, Gene;Kahn, Madeline
Flashback;Hopper, Dennis;Kane, Carol
World's Greatest Lover, The;Wilder, Gene;Kane, Carol
Killer's Kiss;Silvera, Frank;Kane, Irene
Deceivers, The;Brosnan, Pierce;Kapoor, Shashi
Breathless;Gere, Richard;Kaprisky, Valerie
Born on the Fourth of July;Cruise, Tom;Kava, Caroline
Awakenings;De Niro, Robert;Kavner, Julie
Annie Hall;Allen, Woody;Keaton, Diane
Manhattan;Allen, Woody;Keaton, Diane
Reds;Beatty, Warren;Keaton, Diane
Crimes of the Heart;Shepard, Sam;Keaton, Diane
Looking for Mr. Goodbar;Atherton, William;Keaton, Diane
Godfather, The;Brando, Marlon;Keaton, Diane
Godfather, Pt 2., The;Pacino, Al;Keaton, Diane
I Will, I Will...For Now;Gould, Elliott;Keaton, Diane
Play It Again, Sam;Allen, Woody;Keaton, Diane
Love & Death;Allen, Woody;Keaton, Diane
Sleeper;Allen, Woody;Keaton, Diane
Fellini Satyricon;Potter, Martin;Keller, Hiram
Formula, The;Scott, George C.;Keller, Marthe
Black Sunday;Shaw, Robert;Keller, Marthe
Bobby Deerfield;Pacino, Al;Keller, Marthe
Last of the Red Hot Lovers;Arkin, Alan;Kellerman, Sally
Mogambo;Gable, Clark;Kelly, Grace
To Catch a Thief;Grant, Cary;Kelly, Grace
Rear Window;Stewart, James;Kelly, Grace
Woman Who Came Back;Kruger, Otto;Kelly, Nancy
Stanley & Livingstone;Tracy, Spencer;Kelly, Nancy
Bad Seed, The;Jones, Henry;Kelly, Nancy
Lethal Weapon 2;Gibson, Mel;Kensit, Patsy
Blame It on the Bellboy;Moore, Dudley;Kensit, Patsy
Drop Kick, The;Barthelmess, Richard;Kent, Barbara
Superman, The Movie;Brando, Marlon;Kidder, Margot
Superman IV: The Quest for Peace;Reeve, Christopher;Kidder, Margot
Quackser Fortune Has a Cousin in the Bronx;Wilder, Gene;Kidder, Margot
Dead Calm;Neill, Sam;Kidman, Nicole
Days of Thunder;Cruise, Tom;Kidman, Nicole
My Life As a Dog;Glanzelius, Anton;Kinnaman, Melinda
Moon in the Gutter, The;Depardieu, Gérard;Kinski, Nastassia
Paris, Texas;Stanton, Harry Dean;Kinski, Nastassia
Unfaithfully Yours;Moore, Dudley;Kinski, Nastassia
Bullseye!;Caine, Michael;Kirkland, Sally
Erik the Viking;Robbins, Tim;Kitt, Eartha
Dragonard;Reed, Oliver;Kitt, Eartha
Hard Choices;McCleery, Gary;Klenck, Margaret
Rain People, The;Caan, James;Knight, Shirley
A Year of the Quiet Sun;Wilson, Scott;Komorowska, Maja
Desert Trail, The;Wayne, John;Kornman, Mary
Almost an Angel;Hogan, Paul;Kozlowski, Linda
Crocodile Dundee;Hogan, Paul;Kozlowski, Linda
American Friend, The;Hopper, Dennis;Kreuzer, Lisa
See You in the Morning;Bridges, Jeff;Krige, Alice
Arrogant, The;Graham, Gary;Kristel, Sylvia
Dracula's Widow;Sommer, Josef;Kristel, Sylvia
Ninja Masters of Death;Peterson, Chris;Kruize, Kelly
Mystery Train;Nagase, Masatoshi;Kudoh, Youki
Go Tell the Spartans;Lancaster, Burt;Kumagai, Denice
True Stories;Goodman, John;Kurtz, Swoosie
Ugetsu Monogatari;Mori, Masayuki;Kyô, Machiki
Rebel Rousers;Nicholson, Jack;Ladd, Diane
Plain Clothes;Howard, Arliss;Ladd, Diane
Whose Life Is It, Anyway?;Dreyfuss, Richard;Lahti, Christine
Running on Empty;Hirsch, Judd;Lahti, Christine
Funny about Love;Wilder, Gene;Lahti, Christine
A Chorus Line, The Movie;Douglas, Michael;Landers, Audrey
Stewardess School;Most, Donald;Landers, Judy
Big Town, The;Dillon, Matt;Lane, Diane
Rumble Fish;Dillon, Matt;Lane, Diane
Outsiders, The;Howell, C. Thomas;Lane, Diane
Priceless Beauty;Lambert, Christopher;Lane, Diane
Streets of Fire;Paré, Michael;Lane, Diane
Men Don't Leave;Howard, Arliss;Lange, Jessica
Everybody's All American;Quaid, Dennis;Lange, Jessica
Cape Fear;De Niro, Robert;Lange, Jessica
Postman Always Rings Twice, The;Nicholson, Jack;Lange, Jessica
Crashing Thru;Wilson, Whip;Larson, Christine
Get Out Your Handkerchiefs;Depardieu, Gérard;Laure, Carole
Boy Friend, THe;Gable, Christopher;Lawson, Twiggy
Hard To Kill;Seagal, Steven;LeBrock, Kelly
Psycho;Perkins, Anthony;Leigh, Janet
Jet Pilot;Wayne, John;Leigh, Janet
Under Cover;Neidorf, David;Leigh, Jennifer Jason
A Streetcar Named Desire;Brando, Marlon;Leigh, Vivien
Golden Child, The;Murphy, Eddie;Lewis, Charlotte
Statue, The;Niven, David;Lisi, Virna
Christopher Columbus;Byrne, Gabriel;Lisi, Virna
In Country;Willis, Bruce;Lloyd, Emily
Wild Geese, The;Burton, Richard;Lloyd, Rosalind
Second Coming of Suzanne., The;Dreyfuss, Richard;Locke, Sondra
Bronco Billy;Eastwood, Clint;Locke, Sondra
Gauntlet, The;Eastwood, Clint;Locke, Sondra
Ratboy;Townsend, Robert;Locke, Sondra
Lady Vanishes;Redgrave, Michael;Lockwood, Margaret
Kitchen Toto, THe;Peck, Bob;Logan, Phyllis
Carlton-Browne of the F.O.;Terry-Thomas;Lohr, Marie
Racketeer;Armstrong, Robert;Lombard, Carole
Mr. & Mrs. Smith;Montgomery, Robert;Lombard, Carole
Alrededor de Medianoche;Francois Cluzet;Lonette McKee
Losin' It;Cruise, Tom;Long, Shelley
Into the Homeland;Boothe, Powers;Longstreth, Emily
Boxing Babes;Nichol, Robin;Lords, Traci
Shock 'em Dead;Donahue, Troy;Lords, Traci
Heller in Pink Tights;Quinn, Anthony;Loren, Sophia
Two Women;Belmondo, Jean-Paul;Loren, Sophia
Gold of Naples, The;De Sica, Vittorio;Loren, Sophia
Yesterday, Today & Tomorrow;Mastroianni, Marcello;Loren, Sophia
Legend of the Lost;Wayne, John;Loren, Sophia
Brass Target;Cassavetes, John;Loren, Sophia
Fall of the Roman Empire, The;Boyd, Stphen;Loren, Sophia
El Cid;Heston, Charlton;Loren, Sophia
Desire under the Elms;Perkins, Anthony;Loren, Sophia
Two Nights with Cleo;Sordi, Alberto;Loren, Sophia
Black Orchid, The;Quinn, Anthony;Loren, Sophia
Angela;Railsback, Steve;Loren, Sophia
A Special Day;Mastroianni, Marcello;Loren, Sophia
Blood Feud;Mastroianni, Marcello;Loren, Sophia
Sophia Loren, Her Own Story;Gavin, John;Loren, Sophia
Running Away;Loggia, Robert;Loren, Sophia
Man of La Mancha;O'Toole, Peter;Loren, Sophia
Operation Crossbow;Peppard, George;Loren, Sophia
Courage;Williams, Billy Dee;Loren, Sophia
RAD;Allen, Bill;Loughlin, Lori
Secret Admirer;Howell, C. Thomas;Loughlin, Lori
Cocaine Cowboys;Palance, Jack;Love, Suzanna
Test Pilot;Gable, Clark;Loy, Myrna
Ape Man, The;Ford, Wallace;Lugosi, Bela
Mission, The;De Niro, Robert;Lunghi, Cherie
Curly Sue;Belushi, Jim;Lynch, Kelly
Lolita;Mason, James;Lyon, Sue
Sex, Lies, and Videotape;Spader, James;MacDowell, Andie
Green Card;Depardieu, Gérard;MacDowell, Andie
Gator Bait II;Muzzcat, Paul;MacKenzie, Jan
Being There;Sellers, Peter;MacLaine, Shirley
Terms of Endearment;Nicholson, Jack;MacLaine, Shirley
Woman Times Seven;Sellers, Peter;MacLaine, Shirley
Bliss of Mrs. Blossom, The;Booth, James;MacLaine, Shirley
Postcards from the Edge;Quaid, Dennis;MacLaine, Shirley
Two Mules for Sister Sara;Eastwood, Clint;MacLaine, Shirley
Dragonfight;Z'Dar, Robert;MacLaren, Fawna
Back Door to Heaven;Ford, Wallace;MacMahon, Aline
Ciao Italia, Madonna Live from Italy;;Madonna
Madonna, Truth or Dare;;Madonna
A Certain Sacrifice;Pattnosh, Jeremy;Madonna
National Enquirer, The Untold Story;White, Vanna;Madonna
Immaculate Collection, The;;Madonna
Madonna Live, The Virgin Tour;;Madonna
Madonna, Justify My Love;;Madonna
Madonna, Like a Virgin;;Madonna
Hot to Trot;Goldthwait, Bob;Madsen, Virginia
Fire with Fire;Sheffer, Craig;Madsen, Virginia
Hot Spot;Johnson, Don;Madsen, Virginia
Amarcord;Noel, Magali;Maggio, Pupella
Casablanca Express;Connery, Jason;Maneri, Luisa
Out of the Blue;Hopper, Dennis;Manz, Linda
Sands of Iwo Jima;Wayne, John;Mara, Adele
Hand, The;Caine, Michael;Marcovicci, Andrea
Deep Cover;Conti, Tom;Markham, Kika
Il Bidone;Crawford, Broderick;Masina, Guilietta
El Guerrero Solitario;Eastwood, Clint;Mason, Marsha
Heartbreak Ridge;Eastwood, Clint;Mason, Marsha
Goodbye Girl, The;Dreyfuss, Richard;Mason, Marsha
Audrey Rose;Hopkins, Anthony;Mason, Marsha
Polyester;Divine;Massey, Edith
Robin Hood: Prince of Thieves;Costner, Kevin;Mastrantonio, Mary Elizabeth
White Sands;Dafoe, Willem;Mastrantonio, Mary Elizabeth
Color of Money, The;Newman, Paul;Mastrantonio, Mary Elizabeth
Children of a Lesser God;Hurt, William;Matlin, Marlee
Matador;Banderas, Antonio;Maura, Carmen
Women on the Verge of a Nervous Breakdown;Banderas, Antonio;Maura, Carmen
Pepi Luci Bom;Rotaeta, Félix;Maura, Carmen
Forgotten, The;Carradine, Keith;Maynard, Mimi
Flame & the Arrow, The;Lancaster, Burt;Mayo, Virginia
After the Shock;Kotto, Yaphet;McClanahan, Rue
Modern Love;Benson, Robby;McClanahan, Rue
Riff Raff;Carlyle, Robert;McCourt, Emer
Glory Stompers, The;Hopper, Dennis;McCrea, Jody
Dances with Wolves;Costner, Kevin;McDonnell, Mary
Matewan;Jones, James Earl;McDonnell, Mary
Mississippi Burning;Hackman, Gene;McDormand, Frances
Eiger Sanction, The;Eastwood, Clint;McGee, Vonetta
Unsettled Land;Shea, John;McGillis, Kelly
Cat Chaser;Weller, Peter;McGillis, Kelly
Accused, The;Coulson, Bernie;McGillis, Kelly
Winter People;Russell, Kurt;McGillis, Kelly
Reuben, Reuben;Conti, Tom;McGillis, Kelly
Made in Heaven;Hutton, Timothy;McGillis, Kelly
Top Gun;Cruise, Tom;McGillis, Kelly
Witness;Ford, Harrison;McGillis, Kelly
House on Carroll Street, The;Daniels, Jeff;McGillis, Kelly
Racing with the Moon;Penn, Sean;McGovern, Elizabeth
Lovesick;Moore, Dudley;McGovern, Elizabeth
She's Having a Baby;Hughes, Kevin Bacon;McGovern, Elizabeth
Greatest Story Ever Told, The;Sydow, Max von;McGuire, Dorothy
Hawks;Dalton, Timothy;McTeer, Janet
So Fine;O'Neal, Ryan;Melato, Mariangela
Paths of Glory;Douglas, Kirk;Menjou, Adolphe
Tom Jones;Ustinov, Peter;Mercouri, Melina
Sunshine Boys, The;Burns, George;Meredith, Lee
Caddyshack 2;Mason, Jackie;Merrill, Dina
Internal Affairs;Gere, Richard;Metcalf, Laurie
JFK;Costner, Kevin;Metcalf, Laurie
New Jack City;Snipes, Wesley;Michael Michele
Scenes from a Mall;Allen, Woody;Midler, Bette
Hope & Glory;Hayman, David;Miles, Sarah
Ryan's Daughter;Mitchum, Robert;Miles, Sarah
Man Who Loved Cat Dancing, The;Reynolds, Burt;Miles, Sarah
Man Who Shot Liberty Valance, The;Stewart, James;Miles, Vera
Dead-Bang;Johnson, Don;Miller, Penelope Ann
Big Top Pee-wee;Reubens, Paul;Miller, Penelope Ann
Time Machine, The;Taylor, Rod;Mimieux, Yvette
Cabaret;Grey, Joel;Minnelli, Liza
Arthur;Moore, Dudley;Minnelli, Liza
A Matter of Time;Boyer, Charles;Minnelli, Liza
New York, New York;De Niro, Robert;Minnelli, Liza
Nightmare on Elm Street, Pt. 5, The Dream Child;Englund, Robert;Minter, Kelly Jo
Fiendish Plot of Dr. Fu Manchu, The;Sellers, Peter;Mirren, Helen
Four American Composers;Cage, John;Monk, Meredith
Asphalt Jungle, The;Hayden, Sterling;Monroe, Marilyn
Ladies of the Chorus;Garr, Eddie;Monroe, Marilyn
How to Marry a Millionaire;Powell, William;Monroe, Marilyn
Hollywood Out-Takes & Rare Footage;Bogart, Humphrey;Monroe, Marilyn
Nothing But Trouble;Candy, John;Moore, Demi
Wisdom;Estevez, Emilio;Moore, Demi
One Crazy Summer;Cusack, John;Moore, Demi
We're No Angels;De Niro, Robert;Moore, Demi
No Small Affair;Cryer, Jon;Moore, Demi
Ghost;Swayze, Patrick;Moore, Demi
About Last Night;Lowe, Rob;Moore, Demi
Six Weeks;Moore, Dudley;Moore, Mary Tyler
Return of October;Ford, Glenn;Moore, Terry
Come Back, Little Sheba;Lancaster, Burt;Moore, Terry
Going Places;Depardieu, Gérard;Moreau, Jeanne
Monte Walsh;Marvin, Lee;Moreau, Jeanne
Mr. Arkadin;Welles, Orson;Mori, Paola
White of the Eye;Keith, David;Moriarty, Cathy
Producers, The;Wilder, Gene;Mostel, Zero
Front, The;Allen, Woody;Mostel, Zero
House of the Rising Sun;Annese, Frank;Moyer, Tawny
In a Shallow Grave;Biehn, Michael;Mueller, Maureen
Mc Q;Wayne, John;Muldaur, Diana
Lady from Louisiana;Wayne, John;Munson, Ona
Wait Until Spring Bandini;Mantegna, Joe;Muti, Ornella
Long Voyage Home, The;Wayne, John;Natwick, Mildred
Trouble with Harry, The;Forsythe, John;Natwick, Mildred
Encounters;Von Bergan, Raven;Navarro, Monica
Hud;Newman, Paul;Neal, Patricia
Operation Pacific;Wayne, John;Neal, Patricia
Surf Nazis Must Die;Brenner, Barry;Neely, Gail
Teahouse of the August Moon;Brando, Marlon;Negami, Jun
Back in the U.S.S.R.;Whaley, Frank;Negoda, Natalya
Man Who Haunted Himself, The;Moore, Roger;Neil, Hildegard
Prisoner of Honor.;Dreyfuss, Richard;Neilson, Catherine
Control;Lancaster, Burt;Nelligan, Kate
Desert Rider;Hoxie, Jack;Nelson, Evelyn
Wholly Moses!;Moore, Dudley;Newman, Laraine
Star Trek VI: The Undiscovered Country;Shatner, William;Nichols, Nichelle
Star Trek V: The Final Frontier;Shatner, William;Nichols, Nichelle
Circuitry Man;Metzler, Jim;Nicholson, Dana W.
Cobra;Stallone, Sylvester;Nielsen, Brigitte
Beverly Hills Cop II;Murphy, Eddie;Nielsen, Brigitte
Red Sonja;Schwarzenegger, Arnold;Nielsen, Brigitte
To Joy;Olin, Stig;Nilsson, Maj-Britt
Macbeth;Welles, Orson;Nolan, Jeanette
Vertigo;Stewart, James;Novak, Kim
Young Love: Lemon Popsicle Seven;Katzur, Yftach;Noy, Zachi
Crack-Up;Marshall, Herbert;O'Brien, Pat
Bury Me Not on the Lone Prairie;Brown, Johnny Mack;O'Day, Nell
Law & Order;Brown, Johnny Mack;O'Day, Nell
Man from Montana;Brown, Johnny Mack;O'Day, Nell
Long Gray Line, The;Power, Tyrone;O'Hara, Maureen
Rio Grande;Wayne, John;O'Hara, Maureen
Wings of Eagles, The;Wayne, John;O'Hara, Maureen
Jamaica Inn;Laughton, Charles;O'Hara, Maureen
Big Jake;Wayne, John;O'Hara, Maureen
Quiet Man, The;Wayne, John;O'Hara, Maureen
After the Rehearsal;Josephson, Erland;Olin, Lena
Big Jim McLain;Wayne, John;Olson, Nancy
Smith!;Ford, Glenn;Olson, Nancy
Wild One, The;Brando, Marlon;O'Malley, Pat
Manxman, The;Brisson, Carl;Ondra, Anny
International Velvet;Hopkins, Anthony;O'Neal, Tatum
Scanners;Lack, Stephen;O'Neill, Jennifer
Trick or Treat;Price, Marc;Orgolini, Lisa
48 Hrs.;Nolte, Nick;O'Toole, Annette
Trip to Bountiful, The;Heard, John;Page, Geraldine
Mister Roberts;Fonda, Henry;Palmer, Betsy
Z;Montand, Yves;Papas, Irene
Maurice;Wilby, James;Parfitt, Judy
Hamlet;Williamson, Nicol;Parfitt, Judy
La Femme Nikita;Karyo, Tcheky;Parillaud, Anne
Honeymoon in Vegas;Caan, James;Parker, Sarah Jessica
Going for the Gold;Edwards, Anthony;Parker, Sarah Jessica
Shout at the Devil;Marvin, Lee;Parkins, Barbara
A Smoky Mountain Christmas;Majors, Lee;Parton, Dolly
Getting Physical;Naughton, David;Paul, Alexandra
Torn Apart;Pasdar, Adrian;Peck, Cecilia
From the Hip;Nelson, Judd;Perkins, Elizabeth
Ratings Game, The;DeVito, Danny;Perlman, Rhea
Class Act;Reid, Christopher;Perlman, Rhea
Water;Caine, Michael;Perrine, Valerie
Silent Movie;Brooks, Mel;Peters, Bernadette
Pink Cadillac;Eastwood, Clint;Peters, Bernadette
Jerk, The;Martin, Steve;Peters, Bernadette
Wild Times;Elliott, Sam;Peyser, Penny
Sweet Liberty;Alda, Alan;Pfeiffer, Michelle
Grease II;Caulfield, Maxwell;Pfeiffer, Michelle
Married to the Mob;Modine, Matthew;Pfeiffer, Michelle
Ladyhawke;Broderick, Matthew;Pfeiffer, Michelle
Fabulous Baker Boys, The;Bridges, Jeff;Pfeiffer, Michelle
Into the Night;Goldblum, Jeff;Pfeiffer, Michelle
Russia House, The;Connery, Sean;Pfeiffer, Michelle
Tequila Sunrise;Gibson, Mel;Pfeiffer, Michelle
B. A. D. Cats;Morrow, Vic;Pfeiffer, Michelle
Last Movie, The;Hopper, Dennis;Phillips, Michelle
Dillinger;Oates, Warren;Phillips, Michelle
Little Dorrit;Jacobi, Derek;Pickering, Sarah
My Best Girl;Rogers, Charles;Pickford, Mary
Seizure;Frid, Jonathan;Pickles, Christina
A Chorus of Disapproval;Irons, Jeremy;Pigg, Alexandra
Rome Adventure;Donahue, Tony;Pleshette, Suzanne
Drowning by Numbers;Hill, Bernard;Plowright, Joan
Born to Ride;Stamos, John;Polo, Teri
Her Alibi;Selleck, Tom;Porizkova, Paulina
Glitz;Smits, Jimmy;Post, Markie
Dangerous Pursuit;Harrison, Gregory;Powers, Alexandra
Experiment in Terror;Ford, Glenn;Powers, Stefanie
Hideaways, The;Doran, Johnny;Prager, Sally
What's New Pussycat;O'Toole, Peter;Prentiss, Paula
What's New Pussycat?;Sellers, Peter;Prentiss, Paula
Packin' It In;Benjamin, Richard;Prentiss, Paula
Naked Gun: From the Files of Police Squad!, THe;Nielsen, Leslie;Presley, Priscilla
In Too Deep;Race, Hugo;Press, Santha
Twins;Schwarzenegger, Arnold;Preston, Kelly
Experts, The;Travolta, John;Preston, Kelly
Naked Lie;Lucking, William;Principal, Victoria
Mistress;Rachins, Allan;Principal, Victoria
Pleasure Palace;Sharif, Omar;Principal, Victoria
Adam at 6 A.M.;Douglas, Michael;Purcell, Lee
Web of Deceit;Read, James;Purl, Linda
New York Stories;Allen, Woody;Questel, Mae
Dreams Lost, Dreams Found;Robb, David;Quinlan, Kathleen
Au Revoir les Enfants;Manesse, Gaspard;Racette, Francine
Quo Vadis;Brandauer, Klaus Maria;Raines, Cristina
Fighting Kentuckian, The;Wayne, John;Ralston, Vera
Zardoz;Connery, Sean;Rampling, Charlotte
Police Academy 6: City under Siege;Smith, Bubba;Ramsey, Marion
Police Academy 5: Assignment Miami Beach;Gaynes, George;Ramsey, Marion
Police Academy 3: Back in Training;Guttenberg, Steve;Ramsey, Marion
America's Music, Blues;Hopkins, Linda;Redd, Vi
Julia;Fonda, Vanessa;Redgrave, Jane
Devils, The;Reed, Oliver;Redgrave, Vanessa
Ransom;Ford, Glenn;Reed, Donna
Cadillac Man;Williams, Robin;Reed, Pamela
Best of Times, The;Williams, Robin;Reed, Pamela
Death of a Salesman;Hoffman, Dustin;Reid, Kate
It Started with a Kiss;Ford, Glenn;Reynolds, Debbie
Money, The;Luckinbill, Laurence;Richards, Elizabeth
Empire of the Sun;Malkovich, John;Richardson, Miranda
Comfort of Strangers, The;Walken, Christopher;Richardson, Natasha
On Her Majesty's Secret Service;Lazenby, George;Rigg, Diana
Pretty in Pink;Stanton, Harry Dean;Ringwald, Molly
PK. & the Kid.;LeMat, Paul;Ringwald, Molly
Lone Star Trail, The;Brown, Johnny Mack;Ritter, Tex
Summer;Gauthier, Vincent;Riviere, Marie
Planes, Trains & Automobiles;Martin, Steve;Robbins, Laila
Pretty Woman;Gere, Richard;Roberts, Julia
Flatliners;Sutherland, Kiefer;Roberts, Julia
Hook;Williams, Robin;Roberts, Julia
Riders of Pasco Basin;Brown, Johnny Mack;Robinson, Frances
Gotta Dance, Gotta Sing;Astaire, Fred;Rogers, Ginger
Desperate Hours;Rourke, Mickey;Rogers, Mimi
Gung Ho;Keaton, Michael;Rogers, Mimi
Shooting Elizabeth;Goldblum, Jeff;Rogers, Mimi
Strangers on a Train;Granger, Farley;Roman, Ruth
Sacketts, The;Elliott, Sam;Roman, Ruth
To Die Standing;De Young, Cliff;Rose, Jamie
Rodeo Girl;Hopkins, Bo;Ross, Katharine
Butch Cassidy & the Sundance Kid;Newman, Paul;Ross, Katharine
