;Title;Genre;Actors
51;Trainwreck;Comedy, Drama, Romance            ;Amy Schumer, Bill Hader, Brie Larson, Colin Quinn
52;Self/less;Action, Mystery, Sci-Fi            ;Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley
53;The Gallows;Horror, Mystery, Thriller            ;Reese Mishler, Pfeifer Brown, Ryan Shoos, Cassidy Gifford
54;Magic Mike XXL;Comedy, Drama, Music            ;Channing Tatum, Joe Manganiello, Matt Bomer, Adam Rodriguez
55;Ant-Man;Action, Adventure, Comedy            ;Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly
56;Ted 2;Comedy            ;Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth
57;Terminator Genisys;Action, Adventure, Sci-Fi            ;Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney
58;Southpaw;Drama, Sport            ;Jake Gyllenhaal, Rachel McAdams, Oona Laurence, Forest Whitaker
59;Insidious: Chapter 3;Horror, Mystery, Thriller            ;Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell
60;Aloha;Comedy, Drama, Romance            ;Bradley Cooper, Rachel McAdams, Emma Stone, Alec Baldwin
61;Entourage;Comedy            ;Adrian Grenier, Kevin Connolly, Jerry Ferrara, Kevin Dillon
62;Macbeth;Drama, History, War            ;Michael Fassbender, Marion Cotillard, Jack Madigan, Frank Madigan
63;Le Petit Prince;Animation, Adventure, Drama            ;Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard
64;San Andreas;Action, Adventure, Drama            ;Dwayne Johnson, Carla Gugino, Alexandra Daddario, Colton Haynes
65;Sicario;Action, Crime, Drama            ;Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal
66;Poltergeist;Horror, Thriller            ;Sam Rockwell, Rosemarie DeWitt, Kennedi Clements, Saxon Sharbino
67;Carol;Drama, Romance            ;Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler
68;The Sea of Trees;Drama, Fantasy, Mystery            ;Matthew McConaughey, Naomi Watts, Ken Watanabe, Ryoko Seta
69;Irrational Man;Comedy, Drama            ;Joaquin Phoenix, Emma Stone, Parker Posey, Joe Stapleton
70;Tomorrowland;Action, Adventure, Family            ;George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy
71;Mad Max: Fury Road;Action, Adventure, Sci-Fi            ;Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz
72;Hot Pursuit;Action, Comedy, Crime            ;Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley
73;Maggie;Drama, Horror            ;Arnold Schwarzenegger, Abigail Breslin, Joely Richardson, Laura Cayouette
74;Pitch Perfect 2;Comedy, Music            ;Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow
75;Mojave;Drama, Thriller            ;Oscar Isaac, Garrett Hedlund, Louise Bourgoin, Cletus Young
76;Pixels;Action, Comedy, Sci-Fi            ;Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage
77;Child 44;Crime, Drama, History            ;Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman
78;Avengers: Age of Ultron;Action, Adventure, Sci-Fi            ;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth
79;Paul Blart: Mall Cop 2;Action, Comedy, Crime            ;Kevin James, Raini Rodriguez, Eduardo Verástegui, Daniella Alonso
80;The Age of Adaline;Drama, Fantasy, Romance            ;Blake Lively, Michiel Huisman, Harrison Ford, Kathy Baker
81;Careful What You Wish For;Drama, Thriller            ;Nick Jonas, Kiki Harris, David Sherrill, Graham Rogers
82;Dark Places;Action, Drama, Mystery            ;Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloë Grace Moretz
83;Nightlight;Horror, Thriller            ;Shelby Young, Carter Jenkins, Chloe Bridges, Taylor Murphy
