;Title;Genre;Actors
693;Priest;Action, Horror, Thriller            ;Paul Bettany, Cam Gigandet, Maggie Q, Karl Urban
694;Detachment;Drama            ;Adrien Brody, Christina Hendricks, Marcia Gay Harden, Lucy Liu
695;Hoodwinked Too! Hood vs. Evil;Animation, Comedy, Crime            ;Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack
696;Grave Encounters;Horror            ;Ben Wilkinson, Sean Rogerson, Ashleigh Gryzko, Merwin Mondesir
697;The Good Doctor;Drama, Thriller            ;Orlando Bloom, Riley Keough, Taraji P. Henson, Rob Morrow
698;Madea's Big Happy Family;Comedy, Drama            ;Tyler Perry, Loretta Devine, Shad Moss, Cassi Davis
699;Puncture;Biography, Drama            ;Chris Evans, Mark Kassen, Vinessa Shaw, Marshall Bell
700;Something Borrowed;Comedy, Drama, Romance            ;Ginnifer Goodwin, Kate Hudson, Colin Egglesfield, John Krasinski
701;Thor;Action, Adventure, Fantasy            ;Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston
702;Fast Five;Action, Adventure, Thriller            ;Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster
703;Atlas Shrugged: Part I;Drama, Mystery, Sci-Fi            ;Taylor Schilling, Grant Bowler, Matthew Marsden, Edi Gathegi
704;5 Days of War;Action, Drama, War            ;Rupert Friend, Emmanuelle Chriqui, Richard Coyle, Heather Graham
705;Scream 4;Horror, Mystery            ;Neve Campbell, Courteney Cox, David Arquette, Lucy Hale
706;Your Highness;Comedy, Fantasy            ;Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker
707;Soul Surfer;Biography, Drama, Family            ;AnnaSophia Robb, Dennis Quaid, Helen Hunt, Carrie Underwood
708;Arthur;Comedy, Romance            ;Russell Brand, Helen Mirren, Jennifer Garner, Greta Gerwig
709;Hanna;Action, Drama, Thriller            ;Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps
710;Winnie the Pooh;Animation, Adventure, Comedy            ;Jim Cummings, Craig Ferguson, John Cleese, Bud Luckey
711;Restless;Drama, Romance            ;Mia Wasikowska, Henry Hopper, Ryô Kase, Schuyler Fisk
712;Cat Run;Action, Comedy            ;Paz Vega, Janet McTeer, Christopher McDonald, Alphonso McAuley
713;Blackthorn;Action, Adventure, Western            ;Sam Shepard, Eduardo Noriega, Stephen Rea, Magaly Solier
714;Hop;Animation, Adventure, Comedy            ;Russell Brand, James Marsden, Elizabeth Perkins, Kaley Cuoco
715;There Be Dragons;Biography, Drama, War            ;Charlie Cox, Wes Bentley, Dougray Scott, Rodrigo Santoro
716;Rio;Animation, Adventure, Comedy            ;Jesse Eisenberg, Anne Hathaway, George Lopez, Karen Disher
717;Sucker Punch;Action, Adventure, Fantasy            ;Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone
718;Diary of a Wimpy Kid: Rodrick Rules;Comedy, Family            ;Zachary Gordon, Devon Bostick, Robert Capron, Rachael Harris
719;The Beaver;Drama            ;Mel Gibson, Jodie Foster, Anton Yelchin, Cherry Jones
720;The Divide;Drama, Horror, Sci-Fi            ;Lauren German, Michael Biehn, Milo Ventimiglia, Courtney B. Vance
721;Detention;Comedy, Horror, Mystery            ;Josh Hutcherson, Shanley Caswell, Spencer Locke, Dane Cook
722;Attack the Block;Action, Comedy, Sci-Fi            ;John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones
723;Kill List;Crime, Drama, Horror            ;Neil Maskell, MyAnna Buring, Harry Simpson, Michael Smiley
724;The Innkeepers;Drama, Horror, Mystery            ;Sara Paxton, Pat Healy, Kelly McGillis, Alison Bartlett
725;A Bag of Hammers;Comedy, Drama            ;Jason Ritter, Jake Sandvig, Chandler Canterbury, Rebecca Hall
726;Source Code;Action, Drama, Mystery            ;Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright
727;Kill the Irishman;Biography, Crime, Drama            ;Ray Stevenson, Christopher Walken, Vincent D'Onofrio, Val Kilmer
728;Weekend;Drama, Romance            ;Tom Cullen, Chris New, Jonathan Race, Laura Freeman
729;The Lincoln Lawyer;Crime, Drama, Thriller            ;Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy
730;Jane Eyre;Drama, Romance            ;Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot
731;Mars Needs Moms;Animation, Action, Adventure            ;Seth Green, Joan Cusack, Dan Fogler, Elisabeth Harnois
732;Limitless;Sci-Fi, Thriller            ;Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro
733;Battle Los Angeles;Action, Sci-Fi            ;Aaron Eckhart, Michelle Rodriguez, Bridget Moynahan, Ramon Rodriguez
734;Red Riding Hood;Fantasy, Horror, Mystery            ;Amanda Seyfried, Lukas Haas, Gary Oldman, Billy Burke
735;Ironclad;Action, Drama, History            ;Paul Giamatti, Jason Flemyng, Brian Cox, James Purefoy
736;Beastly;Drama, Fantasy, Romance            ;Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen, Justin Bradley
737;Take Me Home Tonight;Comedy, Drama, Romance            ;Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer
738;Drive Angry;Action, Fantasy, Thriller            ;Nicolas Cage, Amber Heard, William Fichtner, Billy Burke
739;Hall Pass;Comedy, Romance            ;Owen Wilson, Jason Sudeikis, Christina Applegate, Jenna Fischer
740;I Am Number Four;Action, Adventure, Sci-Fi            ;Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer
741;Chalet Girl;Comedy, Romance, Sport            ;Felicity Jones, Ed Westwick, Bill Nighy, Brooke Shields
742;Unknown;Action, Mystery, Thriller            ;Liam Neeson, Diane Kruger, January Jones, Aidan Quinn
743;Big Mommas: Like Father, Like Son;Action, Comedy, Crime            ;Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang
744;The Eagle;Action, Adventure, Drama            ;Channing Tatum, Jamie Bell, Donald Sutherland, István Göz
745;Just Go with It;Comedy, Romance            ;Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman
746;Paul;Adventure, Comedy, Sci-Fi            ;Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard
747;The Roommate;Drama, Thriller            ;Minka Kelly, Leighton Meester, Cam Gigandet, Aly Michalka
748;A Little Bit of Heaven;Comedy, Drama, Fantasy            ;Kate Hudson, Gael García Bernal, Kathy Bates, Peter Dinklage
749;Sanctum;Adventure, Drama, Thriller            ;Rhys Wakefield, Allison Cratchley, Christopher James Baker, Richard Roxburgh
750;The Details;Comedy, Drama            ;Tobey Maguire, Elizabeth Banks, Laura Linney, Ray Liotta
751;Bobby Fischer Against the World;Documentary, Biography, History            ;Bobby Fischer, David Edmonds, Anthony Saidy, Susan Polgar
752;If a Tree Falls: A Story of the Earth Liberation Front;Documentary, Biography, Crime            ;Daniel McGowan, Lisa McGowan, Tim Lewis, Kirk Engdall
753;Sing Your Song;Documentary, Biography, Music            ;Harry Belafonte, Sidney Poitier, Marge Champion, Fran Scott Attaway
754;The Son of No One;Action, Crime, Drama            ;Channing Tatum, Al Pacino, Juliette Binoche, James Ransone
755;Flypaper;Comedy, Crime, Mystery            ;Patrick Dempsey, Ashley Judd, Tim Blake Nelson, Mekhi Phifer
756;The Rite;Drama, Horror, Mystery            ;Colin O'Donoghue, Anthony Hopkins, Ciarán Hinds, Alice Braga
757;I Melt with You;Drama            ;Thomas Jane, Rob Lowe, Jeremy Piven, Christian McKay
758;Margin Call;Drama, Thriller            ;Zachary Quinto, Stanley Tucci, Kevin Spacey, Paul Bettany
759;Take Shelter;Drama, Horror, Thriller            ;Michael Shannon, Jessica Chastain, Shea Whigham, Tova Stewart
760;Another Earth;Drama, Romance, Sci-Fi            ;Brit Marling, William Mapother, Matthew-Lee Erlbach, DJ Flava
761;Perfect Sense;Drama, Romance, Sci-Fi            ;Ewan McGregor, Eva Green, Lauren Tempany, Connie Nielsen
762;Sound of My Voice;Drama, Mystery, Sci-Fi            ;Christopher Denham, Nicole Vicius, Brit Marling, Davenia McFadden
763;Red State;Action, Crime, Horror            ;Michael Parks, Melissa Leo, John Goodman, Michael Angarano
764;Cedar Rapids;Comedy            ;Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.
765;The Woman;Horror            ;Pollyanna McIntosh, Brandon Gerald Fuller, Lauren Ashley Carter, Chris Krzykowski
766;Gnomeo & Juliet;Animation, Adventure, Comedy            ;James McAvoy, Emily Blunt, Maggie Smith, Ashley Jensen
767;The Art of Getting By;Drama, Romance            ;Freddie Highmore, Emma Roberts, Michael Angarano, Sasha Spielberg
768;Little Birds;Drama            ;Juno Temple, Kay Panabaker, Leslie Mann, Kate Bosworth
769;Another Happy Day;Comedy, Drama            ;Ellen Barkin, Ezra Miller, Ellen Burstyn, Demi Moore
770;The Mill and the Cross;Drama, History            ;Rutger Hauer, Michael York, Charlotte Rampling, Joanna Litwin
771;Like Crazy;Drama, Romance            ;Felicity Jones, Anton Yelchin, Jennifer Lawrence, Charlie Bewley
772;Our Idiot Brother;Comedy, Drama            ;Paul Rudd, Elizabeth Banks, Zooey Deschanel, Nick Sullivan
773;The Devil's Double;Biography, Drama, Thriller            ;Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast
774;Tyrannosaur;Drama            ;Peter Mullan, Archie Lal, Jag Sanghera, Mike Fearnley
775;Martha Marcy May Marlene;Drama, Mystery, Thriller            ;Elizabeth Olsen, Sarah Paulson, John Hawkes, Christopher Abbott
776;Hobo with a Shotgun;Action, Comedy, Horror            ;Rutger Hauer, Pasha Ebrahimi, Robb Wells, Brian Downey
777;Silent House;Drama, Horror, Mystery            ;Elizabeth Olsen, Adam Trese, Eric Sheffer Stevens, Julia Chan
778;The Ledge;Drama, Romance, Thriller            ;Charlie Hunnam, Terrence Howard, Patrick Wilson, Liv Tyler
779;Win Win;Comedy, Drama, Sport            ;Paul Giamatti, Amy Ryan, Jeffrey Tambor, Bobby Cannavale
780;The Guard;Comedy, Crime, Thriller            ;Brendan Gleeson, Don Cheadle, Mark Strong, Ronan Collins
781;The Music Never Stopped;Drama, Music            ;Lou Taylor Pucci, J.K. Simmons, Julia Ormond, Cara Seymour
782;From Prada to Nada;Comedy, Drama, Romance            ;Camilla Belle, Alexa PenaVega, Kuno Becker, Tina French
783;The Dilemma;Comedy, Drama            ;Vince Vaughn, Kevin James, Winona Ryder, Jennifer Connelly
784;The Mechanic;Action, Thriller            ;Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn
785;The Green Hornet;Action, Comedy, Crime            ;Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz
786;No Strings Attached;Comedy, Romance            ;Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes
787;Season of the Witch;Action, Adventure, Fantasy            ;Nicolas Cage, Ron Perlman, Claire Foy, Stephen Campbell Moore
788;Dylan Dog: Dead of Night;Action, Comedy, Crime            ;Brandon Routh, Anita Briem, Sam Huntington, Taye Diggs
789;Toast;Biography, Comedy, Drama            ;Oscar Kennedy, Victoria Hamilton, Colin Prockter, Ken Stott
790;Little Fockers;Comedy, Romance            ;Ben Stiller, Teri Polo, Robert De Niro, Owen Wilson
791;Gulliver's Travels;Adventure, Comedy, Family            ;Jack Black, Emily Blunt, Jason Segel, Amanda Peet
792;True Grit;Drama, Western            ;Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin
793;How Do You Know;Comedy, Drama, Romance            ;Reese Witherspoon, Paul Rudd, Owen Wilson, Jack Nicholson
794;Yogi Bear;Animation, Adventure, Comedy            ;Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh
795;The Tourist;Action, Adventure, Crime            ;Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton
796;The Fighter;Biography, Drama, Sport            ;Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo
797;Beyond the Black Rainbow;Horror, Sci-Fi, Thriller            ;Eva Bourne, Michael J Rogers, Scott Hylands, Rondel Reynoldson
798;The Chronicles of Narnia: The Voyage of the Dawn Treader;Adventure, Family, Fantasy            ;Ben Barnes, Skandar Keynes, Georgie Henley, Will Poulter
799;The Warrior's Way;Action, Fantasy, Western            ;Dong-Gun Jang, Kate Bosworth, Geoffrey Rush, Danny Huston
800;Tron;Action, Adventure, Sci-Fi            ;Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner
801;London Boulevard;Crime, Drama            ;Colin Farrell, Keira Knightley, Ray Winstone, David Thewlis
802;Burlesque;Drama, Music, Musical            ;Cher, Christina Aguilera, Alan Cumming, Eric Dane
803;Tangled;Animation, Adventure, Comedy            ;Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman
804;Faster;Action, Crime, Drama            ;Dwayne Johnson, Billy Bob Thornton, Maggie Grace, Mauricio Lopez
805;Harry Potter and the Deathly Hallows: Part 1;Adventure, Family, Fantasy            ;Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy
806;Skyline;Action, Sci-Fi, Thriller            ;Eric Balfour, Donald Faison, Scottie Thompson, Brittany Daniel
807;Morning Glory;Comedy, Drama, Romance            ;Rachel McAdams, Harrison Ford, Diane Keaton, Noah Bean
808;The Next Three Days;Action, Crime, Drama            ;Russell Crowe, Elizabeth Banks, Liam Neeson, Michael Buie
809;Country Strong;Drama, Music            ;Garrett Hedlund, Gwyneth Paltrow, Leighton Meester, Tim McGraw
810;Hey, Boo: Harper Lee and 'To Kill a Mockingbird';Documentary, Biography, History            ;Mary Badham, Jane Beasley, Rick Bragg, Tom Brokaw
811;Don't Be Afraid of the Dark;Fantasy, Horror, Thriller            ;Katie Holmes, Guy Pearce, Bailee Madison, Bruce Gleeson
812;All Good Things;Crime, Drama, Mystery            ;Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe
813;For Colored Girls;Drama            ;Janet Jackson, Anika Noni Rose, Whoopi Goldberg, Kimberly Elise
814;Love & Other Drugs;Comedy, Drama, Romance            ;Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt
815;The Big Bang;Action, Mystery, Thriller            ;Antonio Banderas, Thomas Kretschmann, William Fichtner, Sienna Guillory
816;Paranormal Activity 2;Horror            ;Katie Featherston, Micah Sloat, Molly Ephraim, David Bierend
817;Wrecked;Adventure, Drama, Mystery            ;Adrien Brody, Caroline Dhavernas, Ryan Robbins, Adrian G. Griffiths
818;Elite Squad: The Enemy Within;Action, Crime, Drama            ;Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz
819;Oranges and Sunshine;Drama, History            ;Emily Watson, Aisling Loftus, Stuart Wolfenden, Lorraine Ashbourne
820;Senna;Documentary, Biography, Sport            ;Ayrton Senna, Alain Prost, Frank Williams, Ron Dennis
821;My Soul to Take;Horror, Mystery, Thriller            ;Max Thieriot, John Magaro, Denzel Whitaker, Zena Grey
822;An Invisible Sign;Comedy, Drama, Family            ;Jessica Alba, Chris Messina, Sônia Braga, John Shea
823;Life as We Know It;Comedy, Drama, Romance            ;Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett
824;Phil Ochs: There But for Fortune;Documentary, Biography, History            ;Salvador Allende, Erik Andersen, Joan Baez, Jello Biafra
825;Secretariat;Biography, Drama, Family            ;Diane Lane, John Malkovich, Margo Martindale, Nelsan Ellis
826;RED;Action, Comedy, Crime            ;Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker
827;The Social Network;Biography, Drama            ;Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara
828;Legend of the Guardians: The Owls of Ga'Hoole;Animation, Action, Adventure            ;Jim Sturgess, Hugo Weaving, David Wenham, Emily Barclay
829;You Again;Comedy, Romance            ;Kristen Bell, Odette Annable, Sigourney Weaver, Jamie Lee Curtis
830;Mother's Day;Drama, Horror, Thriller            ;Rebecca De Mornay, Jaime King, Shawn Ashmore, Briana Evigan
831;Last Night;Drama, Romance            ;Keira Knightley, Sam Worthington, Eva Mendes, Guillaume Canet
832;Stake Land;Drama, Horror, Sci-Fi            ;Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones
833;Devil;Horror, Mystery, Thriller            ;Chris Messina, Caroline Dhavernas, Bokeem Woodbine, Logan Marshall-Green
834;Casino Jack;Biography, Comedy, Crime            ;Kevin Spacey, Barry Pepper, Jon Lovitz, Ruth Marshall
835;The Bang Bang Club;Biography, Drama, History            ;Ryan Phillippe, Malin Akerman, Taylor Kitsch, Neels van Jaarsveld
836;Insidious;Horror, Mystery, Thriller            ;Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye
837;Henry's Crime;Comedy, Crime, Drama            ;Keanu Reeves, Vera Farmiga, James Caan, Judy Greer
838;Let Me In;Drama, Fantasy, Horror            ;Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono
839;The Ward;Horror, Mystery, Thriller            ;Amber Heard, Mamie Gummer, Danielle Panabaker, Laura-Leigh
840;Rabbit Hole;Drama            ;Nicole Kidman, Aaron Eckhart, Dianne Wiest, Miles Teller
841;The Whistleblower;Biography, Crime, Drama            ;Rachel Weisz, Monica Bellucci, Vanessa Redgrave, David Strathairn
842;Brighton Rock;Crime, Drama, Thriller            ;Sam Riley, Andrea Riseborough, Helen Mirren, John Hurt
843;Submarine;Comedy, Drama, Romance            ;Craig Roberts, Sally Hawkins, Paddy Considine, Noah Taylor
844;Hereafter;Drama, Fantasy, Romance            ;Matt Damon, Cécile de France, Bryce Dallas Howard, Thierry Neuvic
845;Vanishing on 7th Street;Horror, Mystery, Thriller            ;Hayden Christensen, Thandie Newton, John Leguizamo, Jacob Latimore
846;Dirty Girl;Comedy, Drama            ;Juno Temple, Jeremy Dozier, Milla Jovovich, Zach Lasry
847;Beautiful Boy;Drama            ;Michael Sheen, Maria Bello, Kyle Gallner, Logan South
848;Easy A;Comedy, Drama, Romance            ;Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd
849;It's Kind of a Funny Story;Comedy, Drama, Romance            ;Keir Gilchrist, Zach Galifianakis, Emma Roberts, Dana DeVestern
850;Beginners;Comedy, Drama, Romance            ;Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Visnjic
851;Conviction;Biography, Crime, Drama            ;Hilary Swank, Sam Rockwell, Melissa Leo, Thomas D. Mahard
852;The Conspirator;Crime, Drama, History            ;Robin Wright, James McAvoy, Tom Wilkinson, Kevin Kline
853;Made in Dagenham;Biography, Comedy, Drama            ;Sally Hawkins, Bob Hoskins, Andrea Riseborough, Jaime Winstone
854;The Tempest;Comedy, Drama, Fantasy            ;Helen Mirren, Felicity Jones, Djimon Hounsou, Russell Brand
855;Bunraku;Action, Drama, Fantasy            ;Josh Hartnett, Demi Moore, Woody Harrelson, Gackt
856;Super;Action, Comedy, Drama            ;Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon
857;The Way;Comedy, Drama            ;Martin Sheen, Emilio Estevez, Deborah Kara Unger, Yorick van Wageningen
858;Trust;Crime, Drama, Thriller            ;Clive Owen, Catherine Keener, Liana Liberato, Jason Clarke
859;Stone;Drama, Thriller            ;Edward Norton, Milla Jovovich, Robert De Niro, Frances Conroy
860;Everything Must Go;Drama            ;Will Ferrell, Rebecca Hall, Christopher Jordan Wallace, Michael Peña
861;Daydream Nation;Drama, Romance            ;Kat Dennings, Reece Thompson, Andie MacDowell, Josh Lucas
862;Passion Play;Drama, Fantasy, Romance            ;Mickey Rourke, Megan Fox, Bill Murray, Kelly Lynch
863;The Virginity Hit;Comedy            ;Matt Bennett, Zack Pearlman, Krysta Rodriguez, Jacob Davich
864;Legendary;Drama, Sport            ;John Cena, Patricia Clarkson, Danny Glover, Devon Graye
865;The Town;Crime, Drama, Thriller            ;Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner
866;Alpha and Omega;Animation, Adventure, Comedy            ;Hayden Panettiere, Christina Ricci, Justin Long, Dennis Hopper
867;The King's Speech;Biography, Drama, History            ;Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi
868;I'm Still Here;Comedy, Drama, Music            ;Joaquin Phoenix, Antony Langdon, Carey Perloff, Larry McHale
869;Meek's Cutoff;Drama, Western            ;Michelle Williams, Bruce Greenwood, Paul Dano, Will Patton
870;127 Hours;Biography, Drama            ;James Franco, Amber Tamblyn, Kate Mara, Sean Bott
871;The Debt;Drama, Thriller            ;Helen Mirren, Sam Worthington, Tom Wilkinson, Ciarán Hinds
872;The First Grader;Biography, Drama, Romance            ;Naomie Harris, Oliver Litondo, Tony Kgoroge, Alfred Munyua
873;The Way Back;Adventure, Drama, History            ;Jim Sturgess, Ed Harris, Colin Farrell, Dragos Bucur
874;Never Let Me Go;Drama, Romance, Sci-Fi            ;Keira Knightley, Carey Mulligan, Andrew Garfield, Izzy Meikle-Small
875;Somewhere;Comedy, Drama            ;Stephen Dorff, Elle Fanning, Chris Pontius, Erin Wasson
876;Resident Evil: Afterlife;Action, Adventure, Horror            ;Milla Jovovich, Ali Larter, Wentworth Miller, Kim Coates
877;Black Swan;Drama, Thriller            ;Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder
878;The American;Crime, Drama, Thriller            ;George Clooney, Paolo Bonacelli, Violante Placido, Irina Björklund
879;Machete;Action, Crime, Thriller            ;Danny Trejo, Michelle Rodriguez, Robert De Niro, Jessica Alba
880;The Dead;Action, Adventure, Drama            ;Rob Freeman, Prince David Oseia, David Dontoh, Ben Crowe
881;The Tortured;Horror, Thriller            ;Erika Christensen, Jesse Metcalfe, Bill Lippincott, Bill Moseley
882;Going the Distance;Comedy, Romance            ;Drew Barrymore, Justin Long, Ron Livingston, Charlie Day
883;Inhale;Drama, Thriller            ;Dermot Mulroney, Diane Kruger, Sam Shepard, Rosanna Arquette
884;Hatchet II;Action, Comedy, Horror            ;Danielle Harris, Kane Hodder, Tony Todd, Parry Shen
885;Piranha 3D;Comedy, Horror            ;Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss, Ving Rhames
886;Vampires Suck;Comedy            ;Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi
887;The Switch;Comedy, Drama, Romance            ;Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum
888;Lottery Ticket;Comedy            ;Shad Moss, Brandon T. Jackson, Naturi Naughton, Loretta Devine
889;Step Up 3D;Drama, Music, Romance            ;Sharni Vinson, Rick Malambri, Adam Sevani, Alyson Stoner
890;The Expendables;Action, Adventure, Thriller            ;Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren
891;The Other Guys;Action, Comedy, Crime            ;Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes
892;Dinner for Schmucks;Comedy            ;Steve Carell, Paul Rudd, Stephanie Szostak, Zach Galifianakis
893;Charlie St. Cloud;Drama, Fantasy, Romance            ;Zac Efron, Kim Basinger, Charlie Tahan, Amanda Crew
894;Cats & Dogs: The Revenge of Kitty Galore;Action, Comedy, Family            ;Bette Midler, Chris O'Donnell, Jack McBrayer, James Marsden
895;Scott Pilgrim vs. the World;Action, Comedy, Fantasy            ;Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick
896;Flipped;Comedy, Drama, Romance            ;Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards
897;Ramona and Beezus;Comedy, Drama, Family            ;Joey King, Selena Gomez, Bridget Moynahan, John Corbett
898;Salt;Action, Mystery, Thriller            ;Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski
899;The Secret World of Arrietty;Animation, Adventure, Family            ;Bridgit Mendler, Amy Poehler, Will Arnett, Moises Arias
900;Standing Ovation;Musical            ;Devon Jordan, Ashley Cutrona, Erika Corvette, London Clark
901;Womb;Drama, Romance, Sci-Fi            ;Eva Green, Matt Smith, Lesley Manville, Peter Wight
902;Inception;Action, Adventure, Sci-Fi            ;Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe
903;Predators;Action, Adventure, Sci-Fi            ;Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga
904;The Sorcerer's Apprentice;Action, Adventure, Family            ;Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer
905;The Last Airbender;Action, Adventure, Family            ;Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel
906;The Twilight Saga: Eclipse;Action, Drama, Fantasy            ;Kristen Stewart, Robert Pattinson, Taylor Lautner, Xavier Samuel
907;Love Ranch;Biography, Comedy, Drama            ;Helen Mirren, Joe Pesci, Sergio Peris-Mencheta, Gina Gershon
908;Grown Ups;Comedy            ;Adam Sandler, Salma Hayek, Kevin James, Chris Rock
909;The Last Exorcism;Horror, Mystery, Thriller            ;Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum
910;Despicable Me;Animation, Comedy, Family            ;Steve Carell, Jason Segel, Russell Brand, Julie Andrews
911;Jonah Hex;Action, Drama, Fantasy            ;Josh Brolin, Megan Fox, John Malkovich, Michael Fassbender
912;Knight and Day;Action, Adventure, Comedy            ;Tom Cruise, Cameron Diaz, Peter Sarsgaard, Jordi Mollà
913;Toy Story 3;Animation, Adventure, Comedy            ;Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty
914;Shanghai;Crime, Drama, Mystery            ;John Cusack, Li Gong, Yun-Fat Chow, David Morse
915;The Karate Kid;;
916;The A-Team;Action, Adventure, Thriller            ;Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel
917;Killers;Action, Comedy, Romance            ;Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara
918;Sex and the City 2;Comedy, Drama, Romance            ;Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon
919;Marmaduke;Comedy, Family            ;Owen Wilson, Judy Greer, Lee Pace, Emma Stone
920;Black Death;Action, Drama, History            ;Eddie Redmayne, Sean Bean, Carice van Houten, Kimberley Nixon
921;Get Him to the Greek;Comedy, Music            ;Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne
922;Fair Game;Biography, Drama, Thriller            ;Naomi Watts, Sean Penn, Sonya Davison, Vanessa Chong
923;Tamara Drewe;Comedy, Drama, Romance            ;Gemma Arterton, Luke Evans, Dominic Cooper, Roger Allam
924;Sound of Noise;Comedy, Crime, Music            ;Bengt Braskered, Sanna Persson, Magnus Börjeson, Johannes Björk
925;Heartbeats;Drama, Romance            ;Xavier Dolan, Monia Chokri, Niels Schneider, Anne Dorval
926;Rubber;Comedy, Fantasy, Horror            ;Stephen Spinella, Roxane Mesquida, Wings Hauser, Jack Plotnick
927;You Will Meet a Tall Dark Stranger;Comedy, Drama, Romance            ;Anthony Hopkins, Naomi Watts, Josh Brolin, Gemma Jones
928;Another Year;Comedy, Drama            ;Jim Broadbent, Ruth Sheen, Lesley Manville, Oliver Maltman
929;Wall Street: Money Never Sleeps;Drama            ;Shia LaBeouf, Michael Douglas, Carey Mulligan, Josh Brolin
930;The Names of Love;Comedy, Drama, Romance            ;Sara Forestier, Jacques Gamblin, Zinedine Soualem, Carole Franck
931;Robin Hood;Action, Drama, History            ;Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow
932;Prince of Persia: The Sands of Time;Action, Fantasy            ;Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina
933;Cameraman: The Life and Work of Jack Cardiff;Documentary, Biography            ;Jack Cardiff, Martin Scorsese, Kirk Douglas, Lauren Bacall
934;Just Wright;Comedy, Romance, Sport            ;Queen Latifah, Common, Paula Patton, James Pickens Jr.
935;I Spit on Your Grave;Horror, Thriller            ;Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese
936;Barney's Version;Comedy, Drama            ;Paul Giamatti, Rosamund Pike, Jake Hoffman, Macha Grenon
